Problem,Feedback,n,Block,Ha,pHa,La,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,bRate,bRate_std,EV_A,EV_B,EV_diff
3144,True,16,2,29,1.0,29,39,0.4,26,1,6,False,0,0.521875,0.4102717595285673,29.0,31.200000000000003,2.200000000000003
3147,True,18,4,27,1.0,27,31,0.5,22,0,1,True,0,0.5777777777777778,0.4332579119885217,27.0,26.5,-0.5
3148,False,16,1,14,1.0,14,19,0.2,11,0,1,False,0,0.7250000000000001,0.3568379650952703,14.0,12.600000000000001,-1.3999999999999986
3148,True,32,5,14,1.0,14,19,0.2,11,0,1,False,0,0.49375,0.3732485982947991,14.0,12.600000000000001,-1.3999999999999986
3149,True,18,5,24,0.1,1,15,0.6,-17,0,1,False,0,0.2666666666666667,0.3940737464575112,3.3000000000000003,2.1999999999999993,-1.100000000000001
3152,True,16,4,22,0.1,2,5,0.99,-17,0,1,False,1,0.2125,0.2777888886666755,4.0,4.78,0.7800000000000002
3154,True,16,2,12,1.0,12,13,0.6,7,2,2,False,0,0.5375,0.4177319714841085,12.0,10.6,-1.4000000000000004
3155,True,16,4,0,1.0,0,0,1.0,0,3,4,False,0,0.7875000000000001,0.3138470965295043,0.0,0.0,0.0
3156,True,16,3,98,0.25,-45,-9,1.0,-9,0,1,False,0,0.5625,0.4272001872658765,-9.25,-9.0,0.25
3157,False,15,1,10,1.0,10,50,0.2,-2,1,6,False,0,0.48,0.4459340117743239,10.0,8.4,-1.5999999999999996
3157,True,16,4,10,1.0,10,50,0.2,-2,1,6,False,0,0.4,0.3346640106136301,10.0,8.4,-1.5999999999999996
3158,True,16,3,36,0.75,1,73,0.2,15,0,1,False,0,0.35,0.3141125063837265,27.25,26.6,-0.6499999999999986
3162,True,16,2,7,1.0,7,99,0.01,7,0,1,False,0,0.875,0.204939015319192,7.0,7.92,0.9199999999999999
3164,True,16,2,26,1.0,26,73,0.5,-16,1,6,False,0,0.4,0.3502380143083653,26.0,28.5,2.5
3165,False,15,1,30,1.0,30,31,0.95,13,0,1,False,0,0.3733333333333333,0.3918211448145818,30.0,30.1,0.10000000000000142
3165,True,15,2,30,1.0,30,31,0.95,13,0,1,False,0,0.3200000000000001,0.4126568965687042,30.0,30.1,0.10000000000000142
3174,True,16,4,30,1.0,30,47,0.75,-21,1,2,False,0,0.4375000000000001,0.3442382895611701,30.0,30.0,0.0
3177,True,17,4,-5,1.0,-5,63,0.05,-11,0,1,False,0,0.5176470588235295,0.3876778529230923,-5.0,-7.299999999999999,-2.299999999999999
3178,True,16,5,-4,0.9,-10,-2,0.8,-19,1,8,False,0,0.6875000000000001,0.3180670788790734,-4.6,-5.399999999999999,-0.7999999999999989
3179,True,16,2,17,1.0,17,29,0.01,16,1,6,True,0,0.7499999999999999,0.2129162589689509,17.0,16.13,-0.870000000000001
3181,True,32,3,17,1.0,17,25,0.8,-18,1,2,False,0,0.4500000000000001,0.3556003556005334,17.0,16.400000000000002,-0.5999999999999979
3183,True,16,3,-2,1.0,-2,9,0.25,-7,0,1,True,0,0.4749999999999999,0.2909753712372692,-2.0,-3.0,-1.0
3186,True,18,5,37,0.2,2,13,0.25,5,0,1,False,0,0.4666666666666666,0.3757345746510897,9.0,7.0,-2.0
3190,False,18,1,24,0.5,-30,-3,0.9,-21,1,2,False,0,0.3,0.3235828832817663,-3.0,-4.8,-1.7999999999999998
3190,True,16,5,24,0.5,-30,-3,0.9,-21,1,2,False,0,0.275,0.3,-3.0,-4.8,-1.7999999999999998
3192,True,16,2,21,1.0,21,22,0.95,12,0,1,True,0,0.3875,0.3827531841800928,21.0,21.5,0.5
3194,True,18,2,4,0.25,-13,-9,1.0,-9,0,1,False,0,0.3888888888888889,0.3786801985983127,-8.75,-9.0,-0.25
3195,True,18,2,29,1.0,29,35,0.75,-1,1,6,False,0,0.5555555555555556,0.3973770208907733,29.0,26.0,-3.0
3198,True,16,5,2,1.0,2,64,0.4,-39,3,3,True,0,0.475,0.3255764119219941,2.0,2.200000000000003,0.20000000000000284
3201,True,33,5,9,0.95,0,10,0.95,7,1,4,False,0,0.5878787878787879,0.4060153751380418,8.549999999999999,9.85,1.3000000000000007
3204,True,18,2,16,0.95,-32,24,0.75,-6,0,1,False,0,0.7111111111111112,0.3305768378934525,13.599999999999998,16.5,2.900000000000002
3206,True,16,2,11,1.0,11,25,0.5,-6,0,1,False,0,0.4125,0.3827531841800928,11.0,9.5,-1.5
3208,True,16,2,9,1.0,9,35,0.25,4,0,1,False,0,0.525,0.3714835124201341,9.0,11.75,2.75
3210,True,16,4,12,1.0,12,104,0.4,-46,1,2,False,0,0.5499999999999999,0.3386246693120078,12.0,14.000000000000004,2.0000000000000036
3211,False,15,1,-8,1.0,-8,-8,1.0,-8,3,4,False,0,0.5733333333333335,0.3692979181920099,-8.0,-8.0,0.0
3211,True,15,4,-8,1.0,-8,-8,1.0,-8,3,4,False,0,0.6799999999999999,0.3839642840533107,-8.0,-8.0,0.0
3212,True,16,3,14,0.4,-14,-5,0.99,-31,0,1,False,0,0.25,0.2683281572999748,-2.8,-5.260000000000001,-2.460000000000001
3215,True,16,5,19,1.0,19,34,0.6,2,1,8,False,0,0.55,0.3614784456460256,19.0,21.2,2.1999999999999993
3220,True,16,3,1,0.75,-22,3,0.8,-26,0,1,False,0,0.7125,0.3575378767813745,-4.75,-2.799999999999999,1.950000000000001
3223,True,16,3,17,0.01,9,41,0.5,-19,1,8,False,0,0.5750000000000001,0.3568379650952703,9.08,11.0,1.92
3226,True,17,4,102,0.5,-42,53,0.75,-49,0,1,False,0,0.3529411764705882,0.3502100210210002,30.0,27.5,-2.5
3227,True,16,4,22,1.0,22,60,0.5,-16,0,1,False,0,0.3625000000000001,0.2655183609470351,22.0,22.0,0.0
3230,False,16,1,11,1.0,11,23,0.8,-35,2,5,False,0,0.4375000000000001,0.3810074364978545,11.0,11.400000000000004,0.4000000000000039
3232,True,16,5,42,0.05,-6,2,0.8,-25,2,7,True,0,0.6125,0.3612478373637689,-3.599999999999999,-3.399999999999999,0.20000000000000018
3233,True,19,5,12,1.0,12,44,0.6,-42,2,3,False,0,0.5684210526315789,0.3786711143796118,12.0,9.599999999999998,-2.400000000000002
3234,True,18,4,44,0.25,19,61,0.4,-1,1,8,False,0,0.2333333333333333,0.3086974532565159,25.25,23.8,-1.4499999999999993
3236,False,16,1,19,1.0,19,25,0.6,11,1,6,False,0,0.575,0.3568379650952703,19.0,19.4,0.3999999999999986
3236,True,16,5,19,1.0,19,25,0.6,11,1,6,False,0,0.5625,0.4333974311568232,19.0,19.4,0.3999999999999986
3237,True,16,2,20,1.0,20,50,0.01,18,0,1,False,0,0.3,0.3794733192202055,20.0,18.32,-1.6799999999999997
3239,True,16,3,30,1.0,30,49,0.2,28,0,1,True,0,0.6000000000000001,0.4131182235954578,30.0,32.2,2.200000000000003
3242,True,16,5,17,0.95,-42,14,1.0,14,1,8,True,0,0.6,0.3651483716701107,14.049999999999997,14.0,-0.04999999999999716
3243,True,18,5,7,1.0,7,9,0.8,6,1,8,False,0,0.7,0.4563280553698699,7.0,8.4,1.4000000000000004
3246,False,16,1,28,1.0,28,106,0.1,21,0,1,False,0,0.425,0.3568379650952703,28.0,29.500000000000004,1.5000000000000036
3246,True,16,3,28,1.0,28,106,0.1,21,0,1,False,0,0.6499999999999999,0.4412104562073146,28.0,29.500000000000004,1.5000000000000036
3249,False,16,1,3,1.0,3,16,0.4,-10,0,1,False,0,0.325,0.3642343567906062,3.0,0.40000000000000036,-2.5999999999999996
3249,True,16,3,3,1.0,3,16,0.4,-10,0,1,False,0,0.175,0.1914854215512677,3.0,0.40000000000000036,-2.5999999999999996
3250,False,16,1,20,1.0,20,78,0.5,-39,0,1,False,0,0.5375,0.4716990566028302,20.0,19.5,-0.5
3254,True,16,2,-10,1.0,-10,31,0.2,-20,2,6,True,0,0.6625,0.3324154027718932,-10.0,-9.8,0.1999999999999993
3255,True,16,4,20,1.0,20,78,0.25,-2,1,4,False,0,0.325,0.3,20.0,18.0,-2.0
3257,True,19,4,22,1.0,22,21,0.99,-28,0,1,False,0,0.0631578947368421,0.1640139774388806,22.0,20.509999999999998,-1.490000000000002
3259,False,17,1,-8,1.0,-8,13,0.4,-27,0,1,False,0,0.4941176470588236,0.40073461953532,-8.0,-11.0,-3.0
3259,True,16,2,-8,1.0,-8,13,0.4,-27,0,1,False,0,0.6791666666666666,0.3249786317761694,-8.0,-11.0,-3.0
3262,True,16,5,-3,1.0,-3,29,0.1,-9,0,1,False,0,0.4375,0.3593976442141304,-3.0,-5.199999999999999,-2.1999999999999993
3264,True,33,3,17,1.0,17,31,0.25,10,2,4,False,0,0.5878787878787878,0.387102679981016,17.0,15.25,-1.75
3265,True,32,2,21,1.0,21,56,0.25,8,0,1,False,0,0.471875,0.2714766965582747,21.0,20.0,-1.0
3266,True,16,4,41,0.4,-2,98,0.01,13,0,1,False,1,0.6874999999999999,0.3649200825751669,15.200000000000003,13.85,-1.3500000000000032
3267,False,17,1,24,1.0,24,41,0.2,19,2,6,False,0,0.5647058823529412,0.3951916884098593,24.0,23.400000000000002,-0.5999999999999979
3268,True,17,3,7,1.0,7,8,0.75,-4,0,1,False,0,0.3529411764705882,0.3842486939776497,7.0,5.0,-2.0
3270,True,18,3,12,1.0,12,61,0.4,-22,0,1,True,0,0.4777777777777778,0.3370382340949318,12.0,11.200000000000003,-0.7999999999999972
3273,False,16,1,24,0.8,-31,83,0.1,4,1,8,False,-1,0.7374999999999999,0.3324154027718932,13.000000000000004,11.9,-1.1000000000000032
3273,True,17,3,24,0.8,-31,83,0.1,4,1,8,False,-1,0.5411764705882354,0.3985266984930429,13.000000000000004,11.9,-1.1000000000000032
3275,True,16,2,-3,1.0,-3,27,0.5,-31,1,8,False,0,0.8125,0.2473189573539939,-3.0,-2.0,1.0
3281,False,16,1,47,0.1,25,59,0.6,-12,0,1,False,0,0.2625,0.3556683848755748,27.2,30.599999999999998,3.3999999999999986
3281,True,17,2,47,0.1,25,59,0.6,-12,0,1,False,0,0.3764705882352941,0.3733788487660788,27.2,30.599999999999998,3.3999999999999986
3282,True,33,4,-2,1.0,-2,46,0.1,-10,2,4,False,0,0.4727272727272727,0.3701965080135881,-2.0,-4.3999999999999995,-2.3999999999999995
3283,True,20,5,5,0.95,-2,16,0.4,-6,0,1,False,0,0.34,0.3676382661487269,4.65,2.8000000000000007,-1.8499999999999996
3287,True,20,3,25,0.01,15,43,0.05,15,0,1,False,1,0.7100000000000001,0.3754295785111405,15.1,16.4,1.299999999999999
3289,False,16,1,1,1.0,1,77,0.01,0,1,4,False,0,0.3125,0.3575378767813745,1.0,0.77,-0.22999999999999998
3289,True,16,5,1,1.0,1,77,0.01,0,1,4,False,0,0.5750000000000001,0.4312771730569565,1.0,0.77,-0.22999999999999998
3297,True,15,2,4,1.0,4,5,0.8,2,0,1,False,0,0.6666666666666667,0.4386125310350269,4.0,4.4,0.40000000000000036
3298,True,17,3,18,1.0,18,32,0.01,18,0,1,False,0,0.6470588235294118,0.4611367029672757,18.0,18.14,0.14000000000000057
3299,True,16,2,20,1.0,20,24,0.75,0,0,1,False,0,0.3875,0.3685557397915997,20.0,18.0,-2.0
3300,True,18,4,72,0.4,-41,4,1.0,4,0,1,False,0,0.6000000000000001,0.3143620991973503,4.200000000000003,4.0,-0.20000000000000284
3304,True,15,3,-8,0.25,-9,-9,1.0,-9,1,2,False,0,0.36,0.4014260294784796,-8.75,-9.0,-0.25
3305,True,15,4,3,1.0,3,12,0.8,-47,1,8,False,0,0.52,0.3913347124174613,3.0,0.20000000000000284,-2.799999999999997
3308,True,17,2,26,1.0,26,70,0.25,9,3,4,False,0,0.5882352941176471,0.444244235951881,26.0,24.25,-1.75
3311,True,16,4,19,1.0,19,19,1.0,19,1,2,True,0,0.4250000000000001,0.3336665001664586,19.0,19.0,0.0
3312,True,15,2,28,1.0,28,52,0.5,5,2,2,False,0,0.7466666666666666,0.324844285041017,28.0,28.5,0.5
3314,False,15,1,5,0.6,-18,34,0.2,-12,3,5,False,-1,0.4,0.3545621041711673,-4.2,-2.8000000000000007,1.3999999999999995
3316,True,17,2,41,0.05,5,5,0.95,-7,0,1,False,-1,0.0823529411764705,0.1424574239801451,6.800000000000001,4.3999999999999995,-2.4000000000000012
3317,False,17,1,27,1.0,27,43,0.1,24,0,1,False,0,0.5882352941176471,0.3568654384729216,27.0,25.900000000000002,-1.0999999999999979
3318,True,17,5,45,0.25,1,53,0.4,-10,0,1,False,0,0.4352941176470589,0.355213274791688,12.0,15.200000000000003,3.200000000000003
3323,True,17,5,90,0.2,-15,22,0.01,8,2,4,False,0,0.7999999999999998,0.2449489742783178,6.0,8.14,2.1400000000000006
3326,True,16,3,22,0.8,-13,17,0.75,13,0,1,True,0,0.6,0.3425395354310701,15.000000000000002,16.0,0.9999999999999982
3329,True,17,3,-7,1.0,-7,36,0.1,-15,0,1,False,0,0.4235294117647059,0.3382480815997074,-7.0,-9.9,-2.9000000000000004
3333,True,15,5,1,1.0,1,29,0.1,0,2,3,False,0,0.56,0.386929303250976,1.0,2.9000000000000004,1.9000000000000004
3337,True,18,4,20,1.0,20,26,0.6,12,1,8,False,0,0.4333333333333333,0.3955636336106925,20.0,20.4,0.3999999999999986
3339,False,32,1,16,1.0,16,16,1.0,16,3,2,False,0,0.4625,0.4014088093926994,16.0,16.0,0.0
3339,True,16,5,16,1.0,16,16,1.0,16,3,2,False,0,0.5875000000000001,0.4588027898781785,16.0,16.0,0.0
3341,True,17,4,7,1.0,7,14,0.5,5,3,2,False,0,0.7764705882352941,0.3072649747463618,7.0,9.5,2.5
3342,False,16,1,11,1.0,11,27,0.75,-29,1,8,False,0,0.6124999999999999,0.4287578959428425,11.0,13.0,2.0
3342,True,16,2,11,1.0,11,27,0.75,-29,1,8,False,0,0.5625,0.3739429546512855,11.0,13.0,2.0
3345,True,19,5,6,1.0,6,29,0.01,8,2,2,False,0,0.8631578947368422,0.2586514735997489,6.0,8.209999999999999,2.209999999999999
3347,True,17,2,7,1.0,7,13,0.05,10,1,8,False,0,0.8705882352941177,0.2823223022592107,7.0,10.15,3.1500000000000004
3350,True,17,4,24,1.0,24,25,0.95,-9,0,1,False,0,0.388235294117647,0.3425681555201396,24.0,23.3,-0.6999999999999993
3352,True,18,3,10,1.0,10,12,0.95,-13,0,1,True,0,0.2444444444444445,0.3467873093244571,10.0,10.749999999999998,0.7499999999999982
3353,False,33,1,43,0.2,2,70,0.01,9,1,6,False,0,0.6060606060606061,0.3724407620174263,10.2,9.61,-0.5899999999999999
3353,True,15,2,43,0.2,2,70,0.01,9,1,6,False,0,0.5733333333333331,0.3195234546871921,10.2,9.61,-0.5899999999999999
3354,True,17,3,29,1.0,29,65,0.25,17,0,1,False,0,0.3411764705882353,0.3143620991973503,29.0,29.0,0.0
3355,True,15,4,-10,1.0,-10,33,0.05,-11,0,1,False,0,0.4800000000000001,0.4459340117743239,-10.0,-8.799999999999999,1.200000000000001
3357,False,16,1,-5,1.0,-5,105,0.2,-32,0,1,False,0,0.6500000000000001,0.2780887148615228,-5.0,-4.600000000000001,0.3999999999999986
3357,True,15,2,-5,1.0,-5,105,0.2,-32,0,1,False,0,0.4400000000000001,0.3794733192202055,-5.0,-4.600000000000001,0.3999999999999986
3358,True,16,3,35,0.25,12,18,1.0,18,0,1,False,0,0.575,0.4312771730569565,17.75,18.0,0.25
3359,True,16,5,20,0.2,16,30,0.2,12,1,4,True,0,0.5625,0.3739429546512855,16.8,15.600000000000001,-1.1999999999999993
3360,False,16,1,7,1.0,7,37,0.25,-1,3,6,False,0,0.4375,0.3518996068956788,7.0,8.5,1.5
3360,True,16,4,7,1.0,7,37,0.25,-1,3,6,False,0,0.375,0.405791407827552,7.0,8.5,1.5
3361,False,16,1,83,0.2,-15,14,0.5,-2,0,1,False,0,0.7375,0.2986078811194819,4.600000000000001,6.0,1.3999999999999986
3361,True,16,2,83,0.2,-15,14,0.5,-2,0,1,False,0,0.55,0.4226897995772628,4.600000000000001,6.0,1.3999999999999986
3362,True,15,5,-2,1.0,-2,-2,0.4,-5,0,1,False,0,0.1466666666666666,0.3502380143083653,-2.0,-3.8,-1.7999999999999998
3363,True,17,4,16,1.0,16,25,0.1,17,1,6,False,0,0.7882352941176469,0.3638034375544994,16.0,17.8,1.8000000000000007
3367,True,18,2,5,1.0,5,22,0.6,-13,0,1,False,0,0.6333333333333334,0.3834824944236853,5.0,7.999999999999999,2.999999999999999
3370,True,18,2,2,1.0,2,9,0.5,-8,1,8,True,0,0.5555555555555556,0.3033581114637446,2.0,0.5,-1.5
3372,True,18,3,84,0.1,18,35,0.1,26,1,4,False,0,0.5555555555555557,0.4368634491492901,24.6,26.900000000000002,2.3000000000000007
3373,True,15,4,12,1.0,12,31,0.1,7,1,2,False,0,0.6133333333333333,0.4373077809027587,12.0,9.4,-2.5999999999999996
3374,False,16,1,-9,1.0,-9,37,0.2,-20,1,2,False,0,0.675,0.2909753712372692,-9.0,-8.6,0.40000000000000036
3375,False,17,1,88,0.05,-1,40,0.6,-49,0,1,True,0,0.3647058823529412,0.362182924208521,3.45,4.399999999999999,0.9499999999999984
3375,True,15,3,88,0.05,-1,40,0.6,-49,0,1,True,0,0.4266666666666667,0.3195234546871921,3.45,4.399999999999999,0.9499999999999984
3380,True,15,4,-7,1.0,-7,-7,1.0,-7,1,4,False,0,0.52,0.405674042269688,-7.0,-7.0,0.0
3381,True,16,3,20,1.0,20,24,0.4,19,0,1,False,0,0.4625,0.4303099657998483,20.0,21.0,1.0
3383,True,15,4,0,0.99,-5,9,0.8,-47,1,6,False,1,0.6,0.3625307868699864,-0.050000000000000044,-2.1999999999999984,-2.1499999999999986
3386,True,18,4,21,1.0,21,33,0.5,10,1,6,False,0,0.6333333333333334,0.3710081654405053,21.0,21.5,0.5
3389,True,18,5,29,1.0,29,33,0.8,1,1,8,False,0,0.6777777777777778,0.3153999432197262,29.0,26.6,-2.3999999999999986
3391,True,16,2,11,0.05,6,51,0.5,-44,0,1,False,0,0.3375,0.3403429642777023,6.249999999999999,3.5,-2.749999999999999
3393,True,16,2,2,1.0,2,24,0.1,-1,0,1,False,0,0.1875,0.2963668897386031,2.0,1.5000000000000004,-0.49999999999999956
3394,False,16,1,13,0.95,-20,70,0.1,4,1,8,False,0,0.5875,0.3757215280851852,11.349999999999998,10.6,-0.7499999999999982
3395,True,17,4,-2,0.6,-10,39,0.05,-4,1,8,False,0,0.8470588235294118,0.2786522184076944,-5.2,-1.8499999999999996,3.3500000000000005
3396,True,16,2,19,1.0,19,41,0.01,17,1,8,False,0,0.275,0.3714835124201342,19.0,17.24,-1.7600000000000016
3397,True,19,2,-6,1.0,-6,43,0.1,-13,0,1,False,0,0.5157894736842105,0.3789798556574637,-6.0,-7.400000000000001,-1.4000000000000012
3400,True,17,4,29,1.0,29,31,0.05,27,0,1,False,0,0.3647058823529412,0.431481715242066,29.0,27.2,-1.8000000000000007
3403,True,17,4,18,0.75,-14,95,0.01,12,0,1,True,0,0.7058823529411766,0.3399826985217301,10.0,12.829999999999998,2.8299999999999983
3404,False,16,1,17,1.0,17,18,0.99,-16,0,1,False,0,0.3250000000000001,0.3642343567906063,17.0,17.66,0.6600000000000001
3404,True,16,4,17,1.0,17,18,0.99,-16,0,1,False,0,0.45,0.3687817782917156,17.0,17.66,0.6600000000000001
3406,True,15,4,18,1.0,18,37,0.01,17,1,8,False,0,0.5599999999999999,0.4420730385678043,18.0,17.2,-0.8000000000000007
3407,True,18,4,-5,1.0,-5,93,0.05,-11,0,1,False,0,0.5888888888888889,0.390909781812044,-5.0,-5.799999999999999,-0.7999999999999989
3409,False,16,1,4,1.0,4,9,0.9,-16,0,1,False,0,0.6125,0.4349329450233296,4.0,6.5,2.5
3409,True,15,4,4,1.0,4,9,0.9,-16,0,1,False,0,0.6266666666666667,0.3369329451445933,4.0,6.5,2.5
3411,False,17,1,29,1.0,29,69,0.25,12,0,1,False,0,0.4326797385620914,0.354087040901662,29.0,26.25,-2.75
3411,True,16,4,29,1.0,29,69,0.25,12,0,1,False,0,0.5374999999999999,0.3630886025935451,29.0,26.25,-2.75
3412,False,17,1,60,0.6,-23,58,0.5,2,0,1,False,1,0.8705882352941177,0.2229481606852615,26.799999999999997,30.0,3.200000000000003
3412,True,16,2,60,0.6,-23,58,0.5,2,0,1,False,1,0.7125,0.3575378767813745,26.799999999999997,30.0,3.200000000000003
3413,False,17,1,11,1.0,11,71,0.01,13,0,1,False,0,0.9529411764705882,0.150489397711365,11.0,13.579999999999998,2.5799999999999983
3413,True,15,4,11,1.0,11,71,0.01,13,0,1,False,0,0.84,0.2164651077128664,11.0,13.579999999999998,2.5799999999999983
3415,True,16,5,25,0.9,21,41,0.8,-41,0,1,False,0,0.3875,0.4096746676734275,24.6,24.60000000000001,7.105427357601002e-15
3416,False,16,1,74,0.05,25,72,0.2,17,1,6,False,0,0.4375000000000001,0.3593976442141304,27.45,28.0,0.5500000000000007
3416,True,17,2,74,0.05,25,72,0.2,17,1,6,False,0,0.388235294117647,0.3568654384729216,27.45,28.0,0.5500000000000007
3421,True,16,2,23,1.0,23,69,0.5,-21,1,8,False,0,0.4875,0.4064070209367287,23.0,24.0,1.0
3423,True,16,3,25,1.0,25,72,0.2,17,1,4,False,0,0.4125,0.389657969677682,25.0,28.0,3.0
3426,False,16,1,-8,1.0,-8,45,0.05,-12,1,4,False,0,0.6875,0.3422961680572347,-8.0,-9.149999999999999,-1.1499999999999986
3426,True,16,3,-8,1.0,-8,45,0.05,-12,1,4,False,0,0.625,0.3924283374069717,-8.0,-9.149999999999999,-1.1499999999999986
3429,False,16,1,25,1.0,25,40,0.5,6,0,1,False,0,0.625,0.3642343567906062,25.0,23.0,-2.0
3429,True,17,4,25,1.0,25,40,0.5,6,0,1,False,0,0.6,0.3605551275463989,25.0,23.0,-2.0
3431,False,16,1,9,1.0,9,16,0.75,-3,1,2,False,0,0.5669642857142858,0.4018230141416461,9.0,11.25,2.25
3431,True,16,3,9,1.0,9,16,0.75,-3,1,2,False,0,0.4749999999999999,0.405791407827552,9.0,11.25,2.25
3434,False,16,1,76,0.1,0,20,0.8,-37,0,1,False,1,0.4,0.4,7.6000000000000005,8.600000000000001,1.0000000000000009
3435,True,16,5,-1,1.0,-1,34,0.6,-49,1,8,False,0,0.5875,0.3138470965295043,-1.0,0.7999999999999972,1.7999999999999972
3436,True,17,5,-5,1.0,-5,54,0.05,-11,0,1,False,0,0.4470588235294118,0.3776864557056944,-5.0,-7.749999999999999,-2.749999999999999
3439,True,16,3,0,1.0,0,91,0.05,-3,1,4,False,0,0.6124999999999999,0.3685557397915997,0.0,1.7000000000000002,1.7000000000000002
3444,True,16,5,6,1.0,6,34,0.01,4,1,8,True,0,0.7,0.3502380143083653,6.0,4.3,-1.7000000000000002
3448,True,19,3,-2,1.0,-2,3,0.9,-31,0,1,False,0,0.7684210526315789,0.2769930435928499,-2.0,-0.399999999999999,1.600000000000001
3451,False,16,1,3,0.5,1,9,0.1,3,1,4,True,0,0.6625,0.3403429642777023,2.0,3.6,1.6
3451,True,15,2,3,0.5,1,9,0.1,3,1,4,True,0,0.9066666666666666,0.225092573548455,2.0,3.6,1.6
3452,False,16,1,9,0.25,8,46,0.1,7,0,1,False,0,0.5255208333333333,0.3775342607705367,8.25,10.9,2.6500000000000004
3452,True,15,4,9,0.25,8,46,0.1,7,0,1,False,0,0.52,0.4394802124588286,8.25,10.9,2.6500000000000004
3454,True,16,5,20,1.0,20,24,0.95,-15,1,6,True,0,0.475,0.3415650255319866,20.0,22.049999999999997,2.049999999999997
3455,True,32,4,28,1.0,28,54,0.6,-10,1,6,True,0,0.53125,0.3276874002125571,28.0,28.4,0.3999999999999986
3457,True,16,5,-1,1.0,-1,39,0.25,-16,1,4,False,0,0.6124999999999999,0.3827531841800927,-1.0,-2.25,-1.25
3461,True,16,2,45,0.4,-7,92,0.2,-5,0,1,False,0,0.525,0.3785938897200183,13.8,14.400000000000002,0.6000000000000014
3462,True,16,4,13,1.0,13,13,1.0,13,2,2,False,0,0.6125,0.4096746676734276,13.0,13.0,0.0
3464,True,17,5,21,1.0,21,27,0.25,20,1,6,True,0,0.5529411764705882,0.3907007279536723,21.0,21.75,0.75
3466,False,16,1,74,0.2,-26,6,0.5,-23,2,8,False,0,0.575,0.3924283374069717,-6.0,-8.5,-2.5
3467,True,16,5,15,0.6,-8,9,0.8,7,0,1,False,1,0.7000000000000002,0.3346640106136303,5.8,8.6,2.8
3468,True,16,2,0,1.0,0,7,0.25,-5,0,1,True,0,0.7,0.2828427124746189,0.0,-2.0,-2.0
3470,True,17,4,29,1.0,29,71,0.2,19,1,2,False,0,0.6588235294117647,0.3063062673400019,29.0,29.400000000000002,0.40000000000000213
3474,True,16,4,-4,0.95,-17,42,0.01,-8,0,1,False,0,0.6000000000000001,0.3425395354310701,-4.65,-7.5,-2.8499999999999996
3476,True,16,2,-9,1.0,-9,-8,0.75,-12,2,5,False,0,0.425,0.4434711565216689,-9.0,-9.0,0.0
3478,False,32,1,-10,1.0,-10,-9,0.9,-19,2,2,False,0,0.5562500000000001,0.3509778965561332,-10.0,-10.0,0.0
3478,True,16,2,-10,1.0,-10,-9,0.9,-19,2,2,False,0,0.3625,0.3879432948254165,-10.0,-10.0,0.0
3479,False,16,1,11,1.0,11,79,0.1,2,0,1,True,0,0.5625,0.3283798613394757,11.0,9.700000000000001,-1.299999999999999
3480,True,18,2,30,1.0,30,62,0.2,18,1,6,True,0,0.6555555555555556,0.2894664914514331,30.0,26.8,-3.1999999999999993
3484,False,16,1,47,0.05,13,73,0.1,8,3,7,False,0,0.45,0.3386246693120078,14.7,14.5,-0.1999999999999993
3484,True,16,5,47,0.05,13,73,0.1,8,3,7,False,0,0.4,0.3864367132317184,14.7,14.5,-0.1999999999999993
3485,True,16,3,63,0.4,5,37,0.8,-6,0,1,False,0,0.2875000000000001,0.2305789814069501,28.200000000000003,28.400000000000002,0.1999999999999993
3490,True,16,3,13,1.0,13,13,1.0,13,3,6,False,0,0.55,0.3464101615137755,13.0,13.0,0.0
3491,True,18,3,-8,1.0,-8,41,0.4,-46,1,2,True,0,0.7111111111111111,0.2587046667054218,-8.0,-11.199999999999996,-3.1999999999999957
3493,False,15,1,-1,0.9,-20,42,0.01,-5,0,1,False,0,0.5333333333333333,0.4047338925881101,-2.8999999999999995,-4.53,-1.6300000000000008
3496,False,16,1,7,1.0,7,10,0.9,-18,2,7,False,0,0.625,0.443471156521669,7.0,7.2,0.20000000000000018
3498,True,16,2,-1,0.5,-5,30,0.05,-5,0,1,True,0,0.725,0.2816617356570348,-3.0,-3.25,-0.25
3500,True,17,4,22,0.99,5,22,1.0,22,1,2,False,0,0.5647058823529412,0.3888141851684879,21.830000000000002,22.0,0.16999999999999815
3501,False,15,1,1,0.1,-3,33,0.4,-25,1,4,False,0,0.7333333333333333,0.3086066999241838,-2.6,-1.799999999999999,0.8000000000000012
3501,True,16,2,1,0.1,-3,33,0.4,-25,1,4,False,0,0.7875,0.3304037933599835,-2.6,-1.799999999999999,0.8000000000000012
3502,True,17,2,21,1.0,21,42,0.6,-16,0,1,False,0,0.4235294117647058,0.3800154795608757,21.0,18.799999999999997,-2.200000000000003
3503,False,15,1,0,1.0,0,8,0.2,-2,1,2,False,0,0.48,0.4394802124588285,0.0,0.0,0.0
3503,True,16,3,0,1.0,0,8,0.2,-2,1,2,False,0,0.4500000000000001,0.322490309931942,0.0,0.0,0.0
3504,False,17,1,4,1.0,4,17,0.5,-12,3,3,False,0,0.4823529411764706,0.360962764903887,4.0,2.5,-1.5
3504,True,17,3,4,1.0,4,17,0.5,-12,3,3,False,0,0.4705882352941176,0.3235828832817662,4.0,2.5,-1.5
